seq,time,sell_pair,sell_pair_volume,buy_pair,buy_pair_volume
1798,00:20:49:500,[539],[1000],[600],[5000]
1799,00:20:51:500,[539],[1000],[590],[1000]
1800,00:20:52:000,[539],[1000],[609],[4000]
1801,00:20:52:500,[539],[4000],[600],[4000]
1802,00:20:53:000,[539],[4000],[600],[4000]
1803,00:20:53:500,[550],[1000],[600],[3000]
1804,00:20:54:000,[540],[3000],[600],[3000]
1805,00:20:54:500,[550],[1000],[600],[3000]
1806,00:20:55:000,[540],[3000],[610],[8000]
1807,00:20:56:500,[540],[3000],[610],[8000]
1808,00:20:57:000,[540],[3000],[610],[8000]
1809,00:20:57:500,[550],[3000],[600],[7000]
1810,00:20:58:000,[550],[3000],[600],[7000]
1811,00:20:58:500,[550],[3000],[600],[4000]
1812,00:20:59:000,[550],[3000],[610],[8000]
1813,00:20:59:500,[550],[3000],[610],[1000]
1814,00:21:00:000,[550],[3000],[610],[1000]
1815,00:21:01:000,[550],[3000],[610],[1000]
1816,00:21:02:500,[550],[3000],[600],[4000]
1817,00:21:06:000,[540],[7000],[600],[2000]
1818,00:21:06:500,[540],[7000],[590],[2000]
1819,00:21:07:000,[540],[7000],[590],[2000]
1820,00:21:07:500,[540],[7000],[590],[2000]
1821,00:21:13:000,[550],[5000],[600],[7000]
1822,00:21:13:500,[540],[5000],[600],[7000]
1823,00:21:14:000,[540],[5000],[600],[7000]
1824,00:21:14:500,[540],[5000],[600],[7000]
1825,00:21:15:000,[540],[5000],[590],[4000]
1826,00:21:15:500,[550],[1000],[590],[2000]
1827,00:21:16:000,[540],[5000],[590],[1000]
1828,00:21:16:500,[550],[1000],[590],[1000]
1829,00:21:17:000,[540],[5000],[590],[1000]
1830,00:21:18:000,[550],[1000],[590],[4000]
1831,00:21:18:500,[539],[4000],[580],[5000]
1832,00:21:19:000,[539],[1000],[580],[5000]
1833,00:21:20:000,[539],[1000],[600],[1000]
1834,00:21:20:500,[539],[1000],[590],[1000]
1835,00:21:21:000,[539],[1000],[590],[1000]
1836,00:21:22:500,[539],[1000],[590],[1000]
1837,00:21:23:000,[539],[1000],[600],[5000]
1838,00:21:23:500,[539],[1000],[600],[4000]
1839,00:21:24:500,[540],[5000],[600],[7000]
1840,00:21:25:500,[540],[5000],[590],[2000]
1841,00:21:26:000,[540],[5000],[590],[1000]
1842,00:21:26:500,[540],[5000],[590],[1000]
1843,00:21:27:000,[540],[2000],[600],[6000]
1844,00:21:27:500,[550],[1000],[610],[26000]
1845,00:21:28:000,[550],[1000],[610],[26000]
1846,00:21:28:500,[550],[4000],[600],[4000]
1847,00:21:29:000,[550],[4000],[600],[4000]
1848,00:21:29:500,[550],[1000],[600],[1000]
1849,00:21:32:000,[550],[4000],[600],[5000]
1850,00:21:32:500,[550],[4000],[600],[5000]
1851,00:21:33:000,[540],[4000],[590],[4000]
1852,00:21:33:500,[540],[4000],[590],[1000]
1853,00:21:35:000,[540],[1000],[600],[4000]
1854,00:21:35:500,[540],[1000],[600],[4000]
1855,00:21:36:000,[540],[4000],[590],[1000]
1856,00:21:38:500,[550],[4000],[600],[4000]
1857,00:21:41:000,[540],[4000],[600],[6000]
1858,00:21:41:500,[540],[4000],[600],[6000]
1859,00:21:42:500,[529],[4000],[590],[7000]
1860,00:21:43:000,[539],[2000],[600],[7000]
1861,00:21:43:500,[539],[2000],[600],[7000]
1862,00:21:44:000,[539],[2000],[590],[7000]
1863,00:21:47:000,[539],[2000],[590],[3000]
1864,00:21:47:500,[550],[2000],[600],[3000]
1865,00:21:48:000,[550],[5000],[609],[6000]
1866,00:21:48:500,[539],[5000],[609],[6000]
1867,00:21:49:000,[539],[2000],[600],[3000]
1868,00:21:49:500,[539],[2000],[600],[3000]
1869,00:21:50:500,[539],[5000],[590],[6000]
1870,00:21:51:000,[539],[2000],[600],[4000]
1871,00:21:51:500,[539],[2000],[600],[3000]
1872,00:21:52:000,[539],[2000],[600],[3000]
1873,00:21:52:500,[539],[2000],[600],[3000]
1874,00:21:53:000,[539],[2000],[600],[3000]
1875,00:21:53:500,[550],[2000],[609],[5000]
1876,00:21:54:000,[540],[4000],[609],[5000]
1877,00:21:55:000,[540],[4000],[600],[2000]
